DATE;OPEN;HIGH;LOW;CLOSE
06.11.2018;114540;114550;114480;114510
06.11.2018;114510;114590;114480;114560
06.11.2018;114550;114580;114530;114580
06.11.2018;114570;114600;114550;114590
06.11.2018;114580;114710;114580;114700
06.11.2018;114690;114700;114620;114620
06.11.2018;114620;114620;114590;114600
06.11.2018;114610;114610;114570;114590
06.11.2018;114570;114580;114540;114550
06.11.2018;114550;114600;114540;114540
06.11.2018;114530;114550;114470;114500
06.11.2018;114500;114500;114430;114450
06.11.2018;114430;114490;114420;114470
06.11.2018;114460;114500;114460;114480
06.11.2018;114490;114540;114470;114500
06.11.2018;114500;114500;114460;114470
06.11.2018;114480;114530;114460;114470
06.11.2018;114480;114480;114390;114450
06.11.2018;114450;114530;114420;114520
06.11.2018;114520;114550;114500;114520
06.11.2018;114520;114560;114490;114530
06.11.2018;114520;114550;114480;114540
06.11.2018;114550;114670;114520;114640
06.11.2018;114650;114650;114550;114650
06.11.2018;114650;114680;114590;114660
06.11.2018;114670;114690;114660;114690
06.11.2018;114690;114750;114650;114660
06.11.2018;114670;114720;114650;114660
06.11.2018;114670;114700;114660;114670
06.11.2018;114670;114680;114640;114640
06.11.2018;114650;114660;114630;114640
06.11.2018;114640;114650;114560;114570
06.11.2018;114570;114600;114540;114570
06.11.2018;114570;114570;114490;114520
06.11.2018;114520;114540;114490;114510
06.11.2018;114510;114520;114450;114460
06.11.2018;114470;114500;114430;114450
06.11.2018;114450;114460;114420;114460
06.11.2018;114450;114460;114420;114450
06.11.2018;114450;114450;114400;114420
06.11.2018;114440;114460;114410;114460
06.11.2018;114460;114500;114450;114470
06.11.2018;114480;114490;114460;114460
06.11.2018;114470;114470;114440;114460
06.11.2018;114450;114470;114430;114470
06.11.2018;114450;114530;114450;114510
06.11.2018;114500;114550;114500;114540
06.11.2018;114540;114540;114490;114510
06.11.2018;114510;114530;114480;114530
06.11.2018;114520;114550;114510;114550
06.11.2018;114560;114580;114540;114570
06.11.2018;114580;114590;114540;114540
06.11.2018;114540;114580;114530;114550
06.11.2018;114550;114600;114540;114600
06.11.2018;114590;114600;114560;114570
06.11.2018;114570;114600;114560;114600
06.11.2018;114590;114610;114580;114590
06.11.2018;114600;114610;114580;114610
06.11.2018;114610;114610;114580;114590
06.11.2018;114590;114630;114580;114610
06.11.2018;114610;114620;114570;114580
06.11.2018;114580;114580;114560;114570
06.11.2018;114570;114590;114550;114560
06.11.2018;114570;114590;114570;114590
06.11.2018;114590;114620;114590;114620
06.11.2018;114620;114640;114580;114590
06.11.2018;114580;114590;114560;114580
06.11.2018;114560;114570;114550;114550
06.11.2018;114550;114580;114540;114580
06.11.2018;114570;114600;114570;114600
06.11.2018;114600;114610;114580;114590
06.11.2018;114590;114630;114580;114590
06.11.2018;114600;114600;114540;114540
06.11.2018;114540;114570;114540;114550
06.11.2018;114540;114560;114540;114560
06.11.2018;114550;114570;114550;114560
06.11.2018;114570;114580;114540;114580
06.11.2018;114590;114600;114570;114570
06.11.2018;114580;114590;114570;114580
06.11.2018;114580;114600;114570;114600
06.11.2018;114590;114590;114580;114580
06.11.2018;114590;114630;114580;114580
06.11.2018;114590;114630;114590;114630
06.11.2018;114640;114680;114620;114640
06.11.2018;114650;114690;114640;114660
06.11.2018;114670;114680;114640;114650
06.11.2018;114660;114700;114660;114680
06.11.2018;114680;114710;114660;114690
06.11.2018;114690;114690;114670;114680
06.11.2018;114680;114680;114670;114670
06.11.2018;114660;114700;114650;114690
06.11.2018;114690;114730;114690;114690
06.11.2018;114710;114780;114710;114730
06.11.2018;114740;114770;114740;114750
06.11.2018;114740;114760;114730;114750
06.11.2018;114760;114770;114720;114720
06.11.2018;114710;114750;114710;114730
06.11.2018;114720;114730;114710;114730
06.11.2018;114740;114760;114710;114740
06.11.2018;114750;114750;114720;114720
06.11.2018;114720;114780;114720;114730
06.11.2018;114730;114740;114720;114730
06.11.2018;114710;114720;114690;114720
06.11.2018;114710;114710;114660;114690
06.11.2018;114690;114700;114660;114690
06.11.2018;114680;114700;114670;114670
06.11.2018;114680;114680;114660;114660
06.11.2018;114670;114690;114670;114690
06.11.2018;114680;114690;114660;114660
06.11.2018;114670;114680;114640;114640
06.11.2018;114640;114670;114620;114630
